timestamp,zone,count
2025-08-30T08:25:26.783562,Gate A,153
2025-08-30T08:25:26.783562,Gate B,89
2025-08-30T08:25:26.783562,Gate C,69
2025-08-30T08:25:26.783562,Gate D,53
2025-08-30T08:25:27.784244,Gate A,153
2025-08-30T08:25:27.784244,Gate B,85
2025-08-30T08:25:27.784244,Gate C,78
2025-08-30T08:25:27.784244,Gate D,51
2025-08-30T08:25:28.785407,Gate A,157
2025-08-30T08:25:28.785407,Gate B,142
2025-08-30T08:25:28.785407,Gate C,73
2025-08-30T08:25:28.785407,Gate D,60
2025-08-30T08:25:29.786652,Gate A,156
2025-08-30T08:25:29.786652,Gate B,142
2025-08-30T08:25:29.786652,Gate C,75
2025-08-30T08:25:29.786652,Gate D,54
2025-08-30T08:25:30.790694,Gate A,162
2025-08-30T08:25:30.790694,Gate B,152
2025-08-30T08:25:30.790694,Gate C,79
2025-08-30T08:25:30.790694,Gate D,46
2025-08-30T08:25:31.791681,Gate A,173
2025-08-30T08:25:31.791681,Gate B,155
2025-08-30T08:25:31.791681,Gate C,69
2025-08-30T08:25:31.791681,Gate D,55
2025-08-30T08:25:32.792457,Gate A,173
2025-08-30T08:25:32.792457,Gate B,152
2025-08-30T08:25:32.792457,Gate C,71
2025-08-30T08:25:32.792457,Gate D,50
2025-08-30T08:25:33.793751,Gate A,176
2025-08-30T08:25:33.793751,Gate B,157
2025-08-30T08:25:33.793751,Gate C,64
2025-08-30T08:25:33.793751,Gate D,53
2025-08-30T08:25:34.794972,Gate A,181
2025-08-30T08:25:34.794972,Gate B,160
2025-08-30T08:25:34.794972,Gate C,68
2025-08-30T08:25:34.794972,Gate D,46
2025-08-30T08:25:35.795713,Gate A,174
2025-08-30T08:25:35.795713,Gate B,167
2025-08-30T08:25:35.795713,Gate C,63
2025-08-30T08:25:35.795713,Gate D,39
2025-08-30T08:25:36.796907,Gate A,182
2025-08-30T08:25:36.796907,Gate B,161
2025-08-30T08:25:36.796907,Gate C,62
2025-08-30T08:25:36.796907,Gate D,35
